row,sequence,column,tile_id,palette_id,abbreviation,palette_name,sku,piece_type,piece_fraction
1,34,34,placement-000033,P02,W,White,,edge_cut,0.274336
1,35,35,placement-000034,P02,W,White,,edge_cut,0.274336
1,36,36,placement-000035,P02,W,White,,edge_cut,0.274336
1,37,37,placement-000036,P02,W,White,,edge_cut,0.274336
1,38,38,placement-000037,P02,W,White,,edge_cut,0.274336
1,39,39,placement-000038,P02,W,White,,edge_cut,0.274336
1,40,40,placement-000039,P02,W,White,,edge_cut,0.274336
1,41,41,placement-000040,P02,W,White,,edge_cut,0.274336
1,42,42,placement-000041,P02,W,White,,edge_cut,0.274336
1,43,43,placement-000042,P02,W,White,,edge_cut,0.274336
1,44,44,placement-000043,P02,W,White,,edge_cut,0.263890
2,1,1,placement-000044,P02,W,White,,edge_cut,0.943848
2,2,2,placement-000045,P02,W,White,,full,1.000000
2,3,3,placement-000046,P02,W,White,,full,1.000000
2,4,4,placement-000047,P02,W,White,,full,1.000000
2,5,5,placement-000048,P02,W,White,,full,1.000000
2,6,6,placement-000049,P02,W,White,,full,1.000000
2,7,7,placement-000050,P02,W,White,,full,1.000000
2,8,8,placement-000051,P02,W,White,,full,1.000000
2,9,9,placement-000052,P02,W,White,,full,1.000000
2,10,10,placement-000053,P02,W,White,,full,1.000000
2,11,11,placement-000054,P01,B,Black,,full,1.000000
2,12,12,placement-000055,P01,B,Black,,full,1.000000
2,13,13,placement-000056,P01,B,Black,,full,1.000000
2,14,14,placement-000057,P01,B,Black,,full,1.000000
2,15,15,placement-000058,P01,B,Black,,full,1.000000
2,16,16,placement-000059,P01,B,Black,,full,1.000000
2,17,17,placement-000060,P01,B,Black,,full,1.000000
2,18,18,placement-000061,P01,B,Black,,full,1.000000
2,19,19,placement-000062,P01,B,Black,,full,1.000000
2,20,20,placement-000063,P01,B,Black,,full,1.000000
2,21,21,placement-000064,P01,B,Black,,full,1.000000
2,22,22,placement-000065,P02,W,White,,full,1.000000
2,23,23,placement-000066,P02,W,White,,full,1.000000
2,24,24,placement-000067,P02,W,White,,full,1.000000
2,25,25,placement-000068,P02,W,White,,full,1.000000
2,26,26,placement-000069,P02,W,White,,full,1.000000
2,27,27,placement-000070,P02,W,White,,full,1.000000
2,28,28,placement-000071,P02,W,White,,full,1.000000
2,29,29,placement-000072,P02,W,White,,full,1.000000
2,30,30,placement-000073,P02,W,White,,full,1.000000
2,31,31,placement-000074,P02,W,White,,full,1.000000
2,32,32,placement-000075,P02,W,White,,full,1.000000
2,33,33,placement-000076,P02,W,White,,full,1.000000
2,34,34,placement-000077,P02,W,White,,full,1.000000
2,35,35,placement-000078,P02,W,White,,full,1.000000
2,36,36,placement-000079,P02,W,White,,full,1.000000
2,37,37,placement-000080,P02,W,White,,full,1.000000
2,38,38,placement-000081,P02,W,White,,full,1.000000
2,39,39,placement-000082,P02,W,White,,full,1.000000
2,40,40,placement-000083,P02,W,White,,full,1.000000
2,41,41,placement-000084,P02,W,White,,full,1.000000
2,42,42,placement-000085,P02,W,White,,full,1.000000
2,43,43,placement-000086,P02,W,White,,full,1.000000
2,44,44,placement-000087,P02,W,White,,edge_cut,0.362142
3,1,1,placement-000088,P02,W,White,,edge_cut,0.362142
3,2,2,placement-000089,P02,W,White,,full,1.000000
3,3,3,placement-000090,P02,W,White,,full,1.000000
3,4,4,placement-000091,P02,W,White,,full,1.000000
3,5,5,placement-000092,P02,W,White,,full,1.000000
3,6,6,placement-000093,P02,W,White,,full,1.000000
3,7,7,placement-000094,P02,W,White,,full,1.000000
3,8,8,placement-000095,P02,W,White,,full,1.000000
3,9,9,placement-000096,P02,W,White,,full,1.000000
3,10,10,placement-000097,P02,W,White,,full,1.000000
3,11,11,placement-000098,P01,B,Black,,full,1.000000
3,12,12,placement-000099,P01,B,Black,,full,1.000000
3,13,13,placement-000100,P01,B,Black,,full,1.000000
3,14,14,placement-000101,P01,B,Black,,full,1.000000
3,15,15,placement-000102,P01,B,Black,,full,1.000000
3,16,16,placement-000103,P01,B,Black,,full,1.000000
3,17,17,placement-000104,P01,B,Black,,full,1.000000
3,18,18,placement-000105,P01,B,Black,,full,1.000000
3,19,19,placement-000106,P01,B,Black,,full,1.000000
3,20,20,placement-000107,P01,B,Black,,full,1.000000
3,21,21,placement-000108,P01,B,Black,,full,1.000000
3,22,22,placement-000109,P01,B,Black,,full,1.000000
3,23,23,placement-000110,P02,W,White,,full,1.000000
3,24,24,placement-000111,P02,W,White,,full,1.000000
3,25,25,placement-000112,P02,W,White,,full,1.000000
3,26,26,placement-000113,P02,W,White,,full,1.000000
3,27,27,placement-000114,P02,W,White,,full,1.000000
3,28,28,placement-000115,P02,W,White,,full,1.000000
3,29,29,placement-000116,P02,W,White,,full,1.000000
3,30,30,placement-000117,P02,W,White,,full,1.000000
3,31,31,placement-000118,P02,W,White,,full,1.000000
3,32,32,placement-000119,P02,W,White,,full,1.000000
3,33,33,placement-000120,P02,W,White,,full,1.000000
3,34,34,placement-000121,P02,W,White,,full,1.000000
3,35,35,placement-000122,P02,W,White,,full,1.000000
3,36,36,placement-000123,P02,W,White,,full,1.000000
3,37,37,placement-000124,P02,W,White,,full,1.000000
3,38,38,placement-000125,P02,W,White,,full,1.000000
3,39,39,placement-000126,P02,W,White,,full,1.000000
3,40,40,placement-000127,P02,W,White,,full,1.000000
3,41,41,placement-000128,P02,W,White,,full,1.000000
3,42,42,placement-000129,P02,W,White,,full,1.000000
3,43,43,placement-000130,P02,W,White,,full,1.000000
3,44,44,placement-000131,P02,W,White,,edge_cut,0.943848
4,1,1,placement-000132,P02,W,White,,edge_cut,0.943848
4,2,2,placement-000133,P02,W,White,,full,1.000000
4,3,3,placement-000134,P02,W,White,,full,1.000000
4,4,4,placement-000135,P02,W,White,,full,1.000000
4,5,5,placement-000136,P02,W,White,,full,1.000000
4,6,6,placement-000137,P02,W,White,,full,1.000000
4,7,7,placement-000138,P02,W,White,,full,1.000000
4,8,8,placement-000139,P02,W,White,,full,1.000000
4,9,9,placement-000140,P02,W,White,,full,1.000000
4,10,10,placement-000141,P01,B,Black,,full,1.000000
4,11,11,placement-000142,P01,B,Black,,full,1.000000
4,12,12,placement-000143,P01,B,Black,,full,1.000000
4,13,13,placement-000144,P01,B,Black,,full,1.000000
4,14,14,placement-000145,P01,B,Black,,full,1.000000
4,15,15,placement-000146,P01,B,Black,,full,1.000000
4,16,16,placement-000147,P01,B,Black,,full,1.000000
4,17,17,placement-000148,P01,B,Black,,full,1.000000
4,18,18,placement-000149,P01,B,Black,,full,1.000000
4,19,19,placement-000150,P01,B,Black,,full,1.000000
4,20,20,placement-000151,P01,B,Black,,full,1.000000
4,21,21,placement-000152,P01,B,Black,,full,1.000000
4,22,22,placement-000153,P01,B,Black,,full,1.000000
4,23,23,placement-000154,P02,W,White,,full,1.000000
4,24,24,placement-000155,P02,W,White,,full,1.000000
4,25,25,placement-000156,P02,W,White,,full,1.000000
4,26,26,placement-000157,P02,W,White,,full,1.000000
4,27,27,placement-000158,P02,W,White,,full,1.000000
4,28,28,placement-000159,P01,B,Black,,full,1.000000
4,29,29,placement-000160,P01,B,Black,,full,1.000000
4,30,30,placement-000161,P01,B,Black,,full,1.000000
4,31,31,placement-000162,P01,B,Black,,full,1.000000
4,32,32,placement-000163,P01,B,Black,,full,1.000000
4,33,33,placement-000164,P01,B,Black,,full,1.000000
4,34,34,placement-000165,P01,B,Black,,full,1.000000
4,35,35,placement-000166,P01,B,Black,,full,1.000000
4,36,36,placement-000167,P02,W,White,,full,1.000000
4,37,37,placement-000168,P02,W,White,,full,1.000000
4,38,38,placement-000169,P02,W,White,,full,1.000000
4,39,39,placement-000170,P02,W,White,,full,1.000000
4,40,40,placement-000171,P02,W,White,,full,1.000000
4,41,41,placement-000172,P02,W,White,,full,1.000000
4,42,42,placement-000173,P02,W,White,,full,1.000000
4,43,43,placement-000174,P02,W,White,,full,1.000000
4,44,44,placement-000175,P02,W,White,,edge_cut,0.362142
5,1,1,placement-000176,P02,W,White,,edge_cut,0.362142
5,2,2,placement-000177,P02,W,White,,full,1.000000
5,3,3,placement-000178,P02,W,White,,full,1.000000
5,4,4,placement-000179,P02,W,White,,full,1.000000
5,5,5,placement-000180,P02,W,White,,full,1.000000
5,6,6,placement-000181,P02,W,White,,full,1.000000
5,7,7,placement-000182,P02,W,White,,full,1.000000
5,8,8,placement-000183,P02,W,White,,full,1.000000
5,9,9,placement-000184,P02,W,White,,full,1.000000
5,10,10,placement-000185,P01,B,Black,,full,1.000000
5,11,11,placement-000186,P01,B,Black,,full,1.000000
5,12,12,placement-000187,P01,B,Black,,full,1.000000
5,13,13,placement-000188,P01,B,Black,,full,1.000000
5,14,14,placement-000189,P02,W,White,,full,1.000000
5,15,15,placement-000190,P02,W,White,,full,1.000000
5,16,16,placement-000191,P01,B,Black,,full,1.000000
5,17,17,placement-000192,P01,B,Black,,full,1.000000
5,18,18,placement-000193,P01,B,Black,,full,1.000000
5,19,19,placement-000194,P01,B,Black,,full,1.000000
5,20,20,placement-000195,P01,B,Black,,full,1.000000
5,21,21,placement-000196,P01,B,Black,,full,1.000000
5,22,22,placement-000197,P01,B,Black,,full,1.000000
5,23,23,placement-000198,P01,B,Black,,full,1.000000
5,24,24,placement-000199,P02,W,White,,full,1.000000
5,25,25,placement-000200,P02,W,White,,full,1.000000
5,26,26,placement-000201,P02,W,White,,full,1.000000
5,27,27,placement-000202,P02,W,White,,full,1.000000
5,28,28,placement-000203,P01,B,Black,,full,1.000000
5,29,29,placement-000204,P01,B,Black,,full,1.000000
5,30,30,placement-000205,P01,B,Black,,full,1.000000
5,31,31,placement-000206,P01,B,Black,,full,1.000000
5,32,32,placement-000207,P01,B,Black,,full,1.000000
5,33,33,placement-000208,P01,B,Black,,full,1.000000
5,34,34,placement-000209,P01,B,Black,,full,1.000000
5,35,35,placement-000210,P01,B,Black,,full,1.000000
5,36,36,placement-000211,P01,B,Black,,full,1.000000
5,37,37,placement-000212,P02,W,White,,full,1.000000
5,38,38,placement-000213,P02,W,White,,full,1.000000
5,39,39,placement-000214,P02,W,White,,full,1.000000
5,40,40,placement-000215,P02,W,White,,full,1.000000
5,41,41,placement-000216,P02,W,White,,full,1.000000
5,42,42,placement-000217,P02,W,White,,full,1.000000
5,43,43,placement-000218,P02,W,White,,full,1.000000
5,44,44,placement-000219,P02,W,White,,edge_cut,0.943848
6,1,1,placement-000220,P02,W,White,,edge_cut,0.943848
6,2,2,placement-000221,P02,W,White,,full,1.000000
6,3,3,placement-000222,P02,W,White,,full,1.000000
6,4,4,placement-000223,P02,W,White,,full,1.000000
6,5,5,placement-000224,P02,W,White,,full,1.000000
6,6,6,placement-000225,P02,W,White,,full,1.000000
6,7,7,placement-000226,P02,W,White,,full,1.000000
6,8,8,placement-000227,P02,W,White,,full,1.000000
6,9,9,placement-000228,P01,B,Black,,full,1.000000
6,10,10,placement-000229,P01,B,Black,,full,1.000000
6,11,11,placement-000230,P01,B,Black,,full,1.000000
6,12,12,placement-000231,P01,B,Black,,full,1.000000
6,13,13,placement-000232,P02,W,White,,full,1.000000
6,14,14,placement-000233,P02,W,White,,full,1.000000
6,15,15,placement-000234,P02,W,White,,full,1.000000
6,16,16,placement-000235,P01,B,Black,,full,1.000000
6,17,17,placement-000236,P01,B,Black,,full,1.000000
6,18,18,placement-000237,P01,B,Black,,full,1.000000
6,19,19,placement-000238,P01,B,Black,,full,1.000000
6,20,20,placement-000239,P01,B,Black,,full,1.000000
6,21,21,placement-000240,P01,B,Black,,full,1.000000
6,22,22,placement-000241,P01,B,Black,,full,1.000000
6,23,23,placement-000242,P01,B,Black,,full,1.000000
6,24,24,placement-000243,P02,W,White,,full,1.000000
6,25,25,placement-000244,P02,W,White,,full,1.000000
6,26,26,placement-000245,P02,W,White,,full,1.000000
6,27,27,placement-000246,P01,B,Black,,full,1.000000
6,28,28,placement-000247,P01,B,Black,,full,1.000000
6,29,29,placement-000248,P01,B,Black,,full,1.000000
6,30,30,placement-000249,P01,B,Black,,full,1.000000
6,31,31,placement-000250,P01,B,Black,,full,1.000000
6,32,32,placement-000251,P01,B,Black,,full,1.000000
6,33,33,placement-000252,P01,B,Black,,full,1.000000
6,34,34,placement-000253,P01,B,Black,,full,1.000000
6,35,35,placement-000254,P01,B,Black,,full,1.000000
6,36,36,placement-000255,P01,B,Black,,full,1.000000
6,37,37,placement-000256,P02,W,White,,full,1.000000
6,38,38,placement-000257,P02,W,White,,full,1.000000
6,39,39,placement-000258,P02,W,White,,full,1.000000
6,40,40,placement-000259,P02,W,White,,full,1.000000
6,41,41,placement-000260,P02,W,White,,full,1.000000
6,42,42,placement-000261,P02,W,White,,full,1.000000
6,43,43,placement-000262,P02,W,White,,full,1.000000
6,44,44,placement-000263,P02,W,White,,edge_cut,0.362142
7,1,1,placement-000264,P02,W,White,,edge_cut,0.362142
7,2,2,placement-000265,P02,W,White,,full,1.000000
7,3,3,placement-000266,P02,W,White,,full,1.000000
7,4,4,placement-000267,P02,W,White,,full,1.000000
7,5,5,placement-000268,P02,W,White,,full,1.000000
7,6,6,placement-000269,P02,W,White,,full,1.000000
7,7,7,placement-000270,P02,W,White,,full,1.000000
7,8,8,placement-000271,P02,W,White,,full,1.000000
7,9,9,placement-000272,P01,B,Black,,full,1.000000
7,10,10,placement-000273,P01,B,Black,,full,1.000000
7,11,11,placement-000274,P01,B,Black,,full,1.000000
7,12,12,placement-000275,P01,B,Black,,full,1.000000
7,13,13,placement-000276,P02,W,White,,full,1.000000
7,14,14,placement-000277,P02,W,White,,full,1.000000
7,15,15,placement-000278,P02,W,White,,full,1.000000
7,16,16,placement-000279,P02,W,White,,full,1.000000
7,17,17,placement-000280,P01,B,Black,,full,1.000000
7,18,18,placement-000281,P01,B,Black,,full,1.000000
7,19,19,placement-000282,P01,B,Black,,full,1.000000
7,20,20,placement-000283,P01,B,Black,,full,1.000000
7,21,21,placement-000284,P01,B,Black,,full,1.000000
7,22,22,placement-000285,P01,B,Black,,full,1.000000
7,23,23,placement-000286,P01,B,Black,,full,1.000000
7,24,24,placement-000287,P01,B,Black,,full,1.000000
7,25,25,placement-000288,P02,W,White,,full,1.000000
7,26,26,placement-000289,P02,W,White,,full,1.000000
7,27,27,placement-000290,P01,B,Black,,full,1.000000
7,28,28,placement-000291,P01,B,Black,,full,1.000000
7,29,29,placement-000292,P01,B,Black,,full,1.000000
7,30,30,placement-000293,P02,W,White,,full,1.000000
7,31,31,placement-000294,P02,W,White,,full,1.000000
7,32,32,placement-000295,P01,B,Black,,full,1.000000
7,33,33,placement-000296,P01,B,Black,,full,1.000000
7,34,34,placement-000297,P01,B,Black,,full,1.000000
7,35,35,placement-000298,P01,B,Black,,full,1.000000
7,36,36,placement-000299,P01,B,Black,,full,1.000000
7,37,37,placement-000300,P01,B,Black,,full,1.000000
7,38,38,placement-000301,P02,W,White,,full,1.000000
7,39,39,placement-000302,P02,W,White,,full,1.000000
7,40,40,placement-000303,P02,W,White,,full,1.000000
7,41,41,placement-000304,P02,W,White,,full,1.000000
7,42,42,placement-000305,P02,W,White,,full,1.000000
7,43,43,placement-000306,P02,W,White,,full,1.000000
7,44,44,placement-000307,P02,W,White,,edge_cut,0.943848
8,1,1,placement-000308,P02,W,White,,edge_cut,0.943848
8,2,2,placement-000309,P02,W,White,,full,1.000000
8,3,3,placement-000310,P02,W,White,,full,1.000000
8,4,4,placement-000311,P02,W,White,,full,1.000000
8,5,5,placement-000312,P02,W,White,,full,1.000000
8,6,6,placement-000313,P02,W,White,,full,1.000000
8,7,7,placement-000314,P02,W,White,,full,1.000000
8,8,8,placement-000315,P01,B,Black,,full,1.000000
8,9,9,placement-000316,P01,B,Black,,full,1.000000
8,10,10,placement-000317,P01,B,Black,,full,1.000000
8,11,11,placement-000318,P01,B,Black,,full,1.000000
8,12,12,placement-000319,P02,W,White,,full,1.000000
8,13,13,placement-000320,P02,W,White,,full,1.000000
8,14,14,placement-000321,P02,W,White,,full,1.000000
8,15,15,placement-000322,P02,W,White,,full,1.000000
8,16,16,placement-000323,P02,W,White,,full,1.000000
8,17,17,placement-000324,P01,B,Black,,full,1.000000
8,18,18,placement-000325,P01,B,Black,,full,1.000000
8,19,19,placement-000326,P01,B,Black,,full,1.000000
8,20,20,placement-000327,P01,B,Black,,full,1.000000
8,21,21,placement-000328,P01,B,Black,,full,1.000000
8,22,22,placement-000329,P01,B,Black,,full,1.000000
8,23,23,placement-000330,P01,B,Black,,full,1.000000
8,24,24,placement-000331,P01,B,Black,,full,1.000000
8,25,25,placement-000332,P02,W,White,,full,1.000000
8,26,26,placement-000333,P01,B,Black,,full,1.000000
8,27,27,placement-000334,P01,B,Black,,full,1.000000
8,28,28,placement-000335,P01,B,Black,,full,1.000000
8,29,29,placement-000336,P02,W,White,,full,1.000000
8,30,30,placement-000337,P02,W,White,,full,1.000000
8,31,31,placement-000338,P02,W,White,,full,1.000000
8,32,32,placement-000339,P01,B,Black,,full,1.000000
8,33,33,placement-000340,P01,B,Black,,full,1.000000
8,34,34,placement-000341,P01,B,Black,,full,1.000000
8,35,35,placement-000342,P01,B,Black,,full,1.000000
8,36,36,placement-000343,P01,B,Black,,full,1.000000
8,37,37,placement-000344,P01,B,Black,,full,1.000000
8,38,38,placement-000345,P02,W,White,,full,1.000000
8,39,39,placement-000346,P02,W,White,,full,1.000000
8,40,40,placement-000347,P02,W,White,,full,1.000000
8,41,41,placement-000348,P02,W,White,,full,1.000000
8,42,42,placement-000349,P02,W,White,,full,1.000000
8,43,43,placement-000350,P02,W,White,,full,1.000000
8,44,44,placement-000351,P02,W,White,,edge_cut,0.362142
9,1,1,placement-000352,P02,W,White,,edge_cut,0.362142
9,2,2,placement-000353,P02,W,White,,full,1.000000
9,3,3,placement-000354,P02,W,White,,full,1.000000
9,4,4,placement-000355,P02,W,White,,full,1.000000
9,5,5,placement-000356,P02,W,White,,full,1.000000
9,6,6,placement-000357,P02,W,White,,full,1.000000
9,7,7,placement-000358,P02,W,White,,full,1.000000
9,8,8,placement-000359,P01,B,Black,,full,1.000000
9,9,9,placement-000360,P01,B,Black,,full,1.000000
9,10,10,placement-000361,P01,B,Black,,full,1.000000
9,11,11,placement-000362,P01,B,Black,,full,1.000000
9,12,12,placement-000363,P02,W,White,,full,1.000000
9,13,13,placement-000364,P02,W,White,,full,1.000000
9,14,14,placement-000365,P02,W,White,,full,1.000000
9,15,15,placement-000366,P02,W,White,,full,1.000000
9,16,16,placement-000367,P02,W,White,,full,1.000000
9,17,17,placement-000368,P02,W,White,,full,1.000000
9,18,18,placement-000369,P01,B,Black,,full,1.000000
9,19,19,placement-000370,P01,B,Black,,full,1.000000
9,20,20,placement-000371,P01,B,Black,,full,1.000000
9,21,21,placement-000372,P01,B,Black,,full,1.000000
9,22,22,placement-000373,P01,B,Black,,full,1.000000
9,23,23,placement-000374,P01,B,Black,,full,1.000000
9,24,24,placement-000375,P01,B,Black,,full,1.000000
9,25,25,placement-000376,P01,B,Black,,full,1.000000
9,26,26,placement-000377,P01,B,Black,,full,1.000000
9,27,27,placement-000378,P01,B,Black,,full,1.000000
9,28,28,placement-000379,P01,B,Black,,full,1.000000
9,29,29,placement-000380,P02,W,White,,full,1.000000
9,30,30,placement-000381,P02,W,White,,full,1.000000
9,31,31,placement-000382,P02,W,White,,full,1.000000
9,32,32,placement-000383,P02,W,White,,full,1.000000
9,33,33,placement-000384,P01,B,Black,,full,1.000000
9,34,34,placement-000385,P01,B,Black,,full,1.000000
9,35,35,placement-000386,P01,B,Black,,full,1.000000
9,36,36,placement-000387,P01,B,Black,,full,1.000000
9,37,37,placement-000388,P01,B,Black,,full,1.000000
9,38,38,placement-000389,P01,B,Black,,full,1.000000
9,39,39,placement-000390,P02,W,White,,full,1.000000
9,40,40,placement-000391,P02,W,White,,full,1.000000
9,41,41,placement-000392,P02,W,White,,full,1.000000
9,42,42,placement-000393,P02,W,White,,full,1.000000
9,43,43,placement-000394,P02,W,White,,full,1.000000
9,44,44,placement-000395,P02,W,White,,edge_cut,0.943848
10,1,1,placement-000396,P02,W,White,,edge_cut,0.943848
10,2,2,placement-000397,P02,W,White,,full,1.000000
10,3,3,placement-000398,P02,W,White,,full,1.000000
10,4,4,placement-000399,P02,W,White,,full,1.000000
10,5,5,placement-000400,P02,W,White,,full,1.000000
10,6,6,placement-000401,P02,W,White,,full,1.000000
10,7,7,placement-000402,P01,B,Black,,full,1.000000
10,8,8,placement-000403,P01,B,Black,,full,1.000000
10,9,9,placement-000404,P01,B,Black,,full,1.000000
10,10,10,placement-000405,P01,B,Black,,full,1.000000
10,11,11,placement-000406,P02,W,White,,full,1.000000
10,12,12,placement-000407,P02,W,White,,full,1.000000
10,13,13,placement-000408,P02,W,White,,full,1.000000
10,14,14,placement-000409,P02,W,White,,full,1.000000
10,15,15,placement-000410,P02,W,White,,full,1.000000
10,16,16,placement-000411,P02,W,White,,full,1.000000
10,17,17,placement-000412,P02,W,White,,full,1.000000
10,18,18,placement-000413,P01,B,Black,,full,1.000000
10,19,19,placement-000414,P01,B,Black,,full,1.000000
10,20,20,placement-000415,P01,B,Black,,full,1.000000
10,21,21,placement-000416,P01,B,Black,,full,1.000000
10,22,22,placement-000417,P01,B,Black,,full,1.000000
10,23,23,placement-000418,P01,B,Black,,full,1.000000
10,24,24,placement-000419,P01,B,Black,,full,1.000000
10,25,25,placement-000420,P01,B,Black,,full,1.000000
10,26,26,placement-000421,P01,B,Black,,full,1.000000
10,27,27,placement-000422,P01,B,Black,,full,1.000000
10,28,28,placement-000423,P02,W,White,,full,1.000000
10,29,29,placement-000424,P02,W,White,,full,1.000000
10,30,30,placement-000425,P02,W,White,,full,1.000000
10,31,31,placement-000426,P02,W,White,,full,1.000000
10,32,32,placement-000427,P02,W,White,,full,1.000000
10,33,33,placement-000428,P01,B,Black,,full,1.000000
10,34,34,placement-000429,P01,B,Black,,full,1.000000
10,35,35,placement-000430,P01,B,Black,,full,1.000000
10,36,36,placement-000431,P01,B,Black,,full,1.000000
10,37,37,placement-000432,P01,B,Black,,full,1.000000
10,38,38,placement-000433,P01,B,Black,,full,1.000000
10,39,39,placement-000434,P02,W,White,,full,1.000000
10,40,40,placement-000435,P02,W,White,,full,1.000000
10,41,41,placement-000436,P02,W,White,,full,1.000000
10,42,42,placement-000437,P02,W,White,,full,1.000000
10,43,43,placement-000438,P02,W,White,,full,1.000000
10,44,44,placement-000439,P02,W,White,,edge_cut,0.362142
11,1,1,placement-000440,P02,W,White,,edge_cut,0.362142
11,2,2,placement-000441,P02,W,White,,full,1.000000
11,3,3,placement-000442,P02,W,White,,full,1.000000
11,4,4,placement-000443,P02,W,White,,full,1.000000
11,5,5,placement-000444,P02,W,White,,full,1.000000
11,6,6,placement-000445,P02,W,White,,full,1.000000
11,7,7,placement-000446,P01,B,Black,,full,1.000000
11,8,8,placement-000447,P01,B,Black,,full,1.000000
11,9,9,placement-000448,P01,B,Black,,full,1.000000
11,10,10,placement-000449,P01,B,Black,,full,1.000000
11,11,11,placement-000450,P02,W,White,,full,1.000000
11,12,12,placement-000451,P02,W,White,,full,1.000000
11,13,13,placement-000452,P02,W,White,,full,1.000000
11,14,14,placement-000453,P02,W,White,,full,1.000000
11,15,15,placement-000454,P02,W,White,,full,1.000000
11,16,16,placement-000455,P02,W,White,,full,1.000000
11,17,17,placement-000456,P02,W,White,,full,1.000000
11,18,18,placement-000457,P02,W,White,,full,1.000000
11,19,19,placement-000458,P01,B,Black,,full,1.000000
11,20,20,placement-000459,P01,B,Black,,full,1.000000
11,21,21,placement-000460,P01,B,Black,,full,1.000000
11,22,22,placement-000461,P01,B,Black,,full,1.000000
11,23,23,placement-000462,P01,B,Black,,full,1.000000
11,24,24,placement-000463,P01,B,Black,,full,1.000000
11,25,25,placement-000464,P01,B,Black,,full,1.000000
11,26,26,placement-000465,P01,B,Black,,full,1.000000
11,27,27,placement-000466,P01,B,Black,,full,1.000000
11,28,28,placement-000467,P02,W,White,,full,1.000000
11,29,29,placement-000468,P02,W,White,,full,1.000000
11,30,30,placement-000469,P02,W,White,,full,1.000000
11,31,31,placement-000470,P02,W,White,,full,1.000000
11,32,32,placement-000471,P02,W,White,,full,1.000000
11,33,33,placement-000472,P02,W,White,,full,1.000000
11,34,34,placement-000473,P01,B,Black,,full,1.000000
11,35,35,placement-000474,P01,B,Black,,full,1.000000
11,36,36,placement-000475,P01,B,Black,,full,1.000000
11,37,37,placement-000476,P01,B,Black,,full,1.000000
11,38,38,placement-000477,P01,B,Black,,full,1.000000
11,39,39,placement-000478,P01,B,Black,,full,1.000000
11,40,40,placement-000479,P02,W,White,,full,1.000000
11,41,41,placement-000480,P02,W,White,,full,1.000000
11,42,42,placement-000481,P02,W,White,,full,1.000000
11,43,43,placement-000482,P02,W,White,,full,1.000000
11,44,44,placement-000483,P02,W,White,,edge_cut,0.943848
12,1,1,placement-000484,P02,W,White,,edge_cut,0.943848
12,2,2,placement-000485,P02,W,White,,full,1.000000
12,3,3,placement-000486,P02,W,White,,full,1.000000
12,4,4,placement-000487,P02,W,White,,full,1.000000
12,5,5,placement-000488,P02,W,White,,full,1.000000
12,6,6,placement-000489,P01,B,Black,,full,1.000000
12,7,7,placement-000490,P01,B,Black,,full,1.000000
12,8,8,placement-000491,P01,B,Black,,full,1.000000
12,9,9,placement-000492,P01,B,Black,,full,1.000000
12,10,10,placement-000493,P02,W,White,,full,1.000000
12,11,11,placement-000494,P02,W,White,,full,1.000000
12,12,12,placement-000495,P02,W,White,,full,1.000000
12,13,13,placement-000496,P02,W,White,,full,1.000000
12,14,14,placement-000497,P02,W,White,,full,1.000000
